Highway,Side,Between,Prohibited Times and/or Days
Abbs Street,South,Brock Avenue and the west end of Abbs Street,Anytime
Aberdeen Avenue,North,A point 106.7 metres west of Parliament Street and a point 21.3 metres further west,Anytime
Aberdeen Avenue,South,Parliament Street and Ontario Street,Anytime
Acacia Road,East,Belsize Drive and Davisville Avenue,Anytime
Adelaide Place,Both,Adelaide Street West and the south end of Adelaide Place,Anytime
Adelaide Street West,North,Massey Street and Strachan Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Adelaide Street West,North,Tecumseth Street and Portugal Square,Anytime
Adelaide Street West,South,Crawford Street and Bathurst Street,Anytime
Admiral Road,East and north,Lowther Avenue and St. George Street,Anytime
Admiral Road,West,A point 40 metres north of Lowther Avenue and a point 26 metres further north,Anytime
Adrian Avenue,South,Symington Avenue and Wiltshire Avenue,Anytime
Albert Franck Place,Both,Henry Lane Terrace and George Street South,Anytime
Alberta Avenue,West,Tyrrel Avenue and Mount Royal Avenue,Anytime
Albertus Avenue,South,Yonge Street and Duplex Avenue,Anytime
Alcina Avenue,Both,Bathurst Street and a point 61 metres west,Anytime
Alcina Avenue,South,Wychwood Avenue and a point 61 metres west of Bathurst Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Ainsworth Road,Both,The west end of Ainsworth Road and the east end of Ainsworth Road,Anytime
Aitken Place,West,Longboat Avenue and Scadding Avenue,Anytime
Albany Avenue,East,Barton Avenue and a point 36.5 metres north,Anytime
Albany Avenue,East,Bloor Street West and a point 51.8 metres north,Anytime
Albany Avenue,East,Bridgman Avenue and a point 137.9 metres north of Bridgman Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Albany Avenue,East,Davenport Road and a point 70.4 metres south of Davenport Road,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Albany Avenue,East,A point 137.9 metres north of Bridgman Avenue and a point 35.6 metres north thereof,Anytime
Albermarle Avenue,North,A point 49.1 metres east of Hampton Avenue and a point 25 metres further east,Anytime
Alfresco Lawn,North,Lee Avenue and a point approximately 54.9 metres east of Leuty Avenue,"Anytime, except Sun. and public holidays"
Alfresco Lawn,North,Wineva Avenue and a point approximately 30.5 metres west,Anytime
Algarve Crescent,South and east,Turnberry Avenue and Old Weston Road,Anytime
Alcorn Avenue,South,Walker Avenue and Oaklands Avenue,Anytime
Aldburn Road,North,Glenarden Road and Fairleigh Crescent,Anytime
Aldbury Gardens,South,St. Hilda's Avenue and a point 30.5 metres east,Anytime
Aldridge Avenue,East,Murdock Avenue and Danforth Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Alentejo Street,East,Turnberry Avenue and Sagres Crescent,Anytime
Alexander Place,West,Alexander Street and Maitland Street,Anytime
Alexander Street,North,Church Street and Mutual Street,8:00 a.m. to 6:00 p.m.
Alexander Street,South,A point 79.5 metres east of Church Street and Mutual Street,Anytime
Alexander Street,South,Church Street and a point 30.5 metres east,Anytime
Alexandra Boulevard,East and south,A point 36.6 metres north of Lytton Boulevard and a point 54.9 metres further east and north,Anytime
Alexandra Boulevard,North,Rosewell Avenue and Lytton Boulevard,Anytime
Alexandra Boulevard,North,Yonge Street and Duplex Avenue,Anytime
Alton Avenue,West,A point 29 metres north of Sawden Avenue and a point 5.5 metres further north,Anytime
Alvin Avenue,East,A point 30.5 metres north of Heath Street East and Glen Elm Avenue,Anytime
Alvin Avenue,West,Heath Street East and Glen Elm Avenue,Anytime
Amelia Street,South,Parliament Street and a point 45.7 metres east of Sumach Street,Anytime
Algonquin Avenue,North,Indian Road and Parkside Drive,Anytime
Alhambra Avenue,East,Boustead Avenue and Bloor Street West,Anytime
Allen Avenue,South,Broadview Avenue and Boulton Avenue,Anytime
Alma Avenue,South,Dufferin Street and Gladstone Avenue,"Each Thu., Apr. 1 to Nov. 30, inclusive"
Alton Avenue,East,Dundas Street East and Gerrard Street East,Anytime
Ardmore Road,North,Bathurst Street and Richview Avenue,7:00 a.m. to 9:00 a.m.
Ardmore Road,South,Spadina Road and Bathurst Street,Anytime
Ardwold Gate,North,Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.
Ancroft Place,Both,Sherbourne Street North and the south end of Ancroft Place,Anytime
Anderson Avenue,North,Colin Avenue and Maxwell Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Anderson Avenue,North,Duplex Avenue and Maxwell Avenue,Anytime
Anderson Avenue,North,Oriole Parkway and Lascelles Boulevard,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Anderson Avenue,South,Duplex Avenue and Colin Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Anderson Avenue,South,Eastbourne Avenue and Duplex Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Anderson Avenue,South,Lascelles Boulevard and Colin Avenue,Anytime
Andrews Avenue,South,Markham Street and the west end of Andrews Avenue,Anytime
Annette Street,Both,Dundas Street West and Indian Road,Anytime
Antler Street,South,A point 15.2 metres west of lane first west of Campbell Avenue (north from Antler Street) and a point 15.2 metres east of lane first west of Campbell Avenue,Anytime
Antler Street,South,Franklin Avenue and the east end of Antler Street,8:30 a.m. to 6:00 p.m.
Archer Road,South,Spadina Road and Dunloe Road,Anytime
Archer Street,North,The north/south leg of Archer Street and the east end of Archer Street,"Each Thu., Apr. 1 to Nov. 30"
Archer Street,South,The north/south leg of Archer Street and the east end of Archer Street,"Anytime, except each Thu., Apr. 1 to Nov. 30"
Ardagh Street,South,Jane Street and Runnymede Road,Anytime
Armadale Avenue,West and North,Mayfield Avenue and South Kingsway,Anytime
Armadale Avenue,West,Colbeck Street and Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Ardwold Gate,South,A point 131.1 metres east of Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.
Ardwold Gate,South,Spadina Road and a point 131.1 metres east,Anytime
Argyle Place,Both,Argyle Street and Bruce Street,Anytime
Argyle Street,Both,Gladstone Avenue and Northcote Avenue,Anytime
Argyle Street,North,Dovercourt Road and a point 32 metres further west,Anytime
Ascot Avenue,South,Earlscourt Avenue and a point 30.5 metres west,Anytime
Armoury Street,South,University Avenue and Chestnut Street,Anytime
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive"
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Arnold Avenue (TO),Both,Dundas Street East and St. David Street,Anytime
Arundel Avenue,West,A point 87 metres north of Danforth Avenue and Browning Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Arundel Avenue,West,Browning Avenue and a point 44.8 metres north of Fulton Avenue,Anytime
Ascot Avenue,North,St. Clair Gardens and Dufferin Street,"12:01 a.m. to 7:59 a.m., 9:01 a.m. to 2:59 p.m., 4:01 p.m. to 12:00 a.m., Mon. to Fri.; Anytime, Sat. and Sun."
Bleecker Street,West,A point 121 metres north of Carlton Street and a point 50 metres further north,"10:00 a.m. to 4:00 p.m., Mon. to Fri."
Blong Avenue,South,Pape Avenue and the east end of Blong Avenue,Anytime
Boston Avenue,East,Badgerow Avenue and a point 92 metres south,Anytime
