_id,scheduleName,schedule_category,Highway,Side,Between,Prohibited Times and/or Days,Maximum Period Permitted
210,SCHEDULE XIII: No Parking,no_parking,Albertus Avenue,South,Yonge Street and Duplex Avenue,Anytime,
241,SCHEDULE XIII: No Parking,no_parking,Alexandra Boulevard,North,Yonge Street and Duplex Avenue,Anytime,
244,SCHEDULE XIII: No Parking,no_parking,Alvin Avenue,East,A point 30.5 metres north of Heath Street East and Glen Elm Avenue,Anytime,
246,SCHEDULE XIII: No Parking,no_parking,Alvin Avenue,West,Heath Street East and Glen Elm Avenue,Anytime,
258,SCHEDULE XIII: No Parking,no_parking,Ardmore Road,South,Spadina Road and Bathurst Street,Anytime,
259,SCHEDULE XIII: No Parking,no_parking,Ardwold Gate,North,Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,
273,SCHEDULE XIII: No Parking,no_parking,Archer Road,South,Spadina Road and Dunloe Road,Anytime,
282,SCHEDULE XIII: No Parking,no_parking,Armadale Avenue,West,Colbeck Street and Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",
283,SCHEDULE XIII: No Parking,no_parking,Ardwold Gate,South,A point 131.1 metres east of Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,
284,SCHEDULE XIII: No Parking,no_parking,Ardwold Gate,South,Spadina Road and a point 131.1 metres east,Anytime,
322,SCHEDULE XIII: No Parking,no_parking,Belsize Drive,South,A point 48.8 metres east of Yonge Street and a point 187.4 metres further east,"9:00 a.m. to 11:00 a.m., Mon. to Fri.",
336,SCHEDULE XIII: No Parking,no_parking,Berwick Avenue,North,A point 120.4 metres west of Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
345,SCHEDULE XIII: No Parking,no_parking,Berwick Avenue,North,Yonge Street and a point 120.4 metres west,8:00 a.m. to 6:00 p.m.,
346,SCHEDULE XIII: No Parking,no_parking,Berwick Avenue,South,Yonge Street and Duplex Avenue,Anytime,
352,SCHEDULE XIII: No Parking,no_parking,Beresford Avenue,East,Annette Street and a point 37.8 metres north of Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",
400,SCHEDULE XIII: No Parking,no_parking,Birch Avenue,North,Yonge Street and a point 161.8 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
429,SCHEDULE XIII: No Parking,no_parking,Bernard Avenue,South,Spadina Road and Madison Avenue,Anytime,
445,SCHEDULE XIII: No Parking,no_parking,Bowood Avenue,South,A point 36.7 metres east of Yonge Street and a point 91.4 metres east of Yonge Street,Anytime,
464,SCHEDULE XIII: No Parking,no_parking,Barnaby Place,West,A point 41.1 metres north of Edward Street and Elm Street,Anytime,
493,SCHEDULE XIII: No Parking,no_parking,Aylmer Avenue,North,Yonge Street and a point 5.4 metres east of a point opposite the east limit of Baxter Street,Anytime,
501,SCHEDULE XIII: No Parking,no_parking,Aziel Street,West,Annette Street and Humberside Avenue,Anytime,
514,SCHEDULE XIII: No Parking,no_parking,Bedford Park Avenue,North,Yonge Street and Jedburgh Road,Anytime,
536,SCHEDULE XIII: No Parking,no_parking,Baxter Street,Both,Yonge Street and the east end of Baxter Street,Anytime,
553,SCHEDULE XIII: No Parking,no_parking,Baldwin Street,North,Spadina Avenue and a point 53.3 metres east,Anytime,
562,SCHEDULE XIII: No Parking,no_parking,Baldwin Street,South,Spadina Avenue and McCaul Street,Anytime,
596,SCHEDULE XIII: No Parking,no_parking,Balmoral Avenue,North,Yonge Street and a point 92 metres west,Anytime,
598,SCHEDULE XIII: No Parking,no_parking,Balmoral Avenue,South,Yonge Street and Avenue Road,Anytime,
600,SCHEDULE XIII: No Parking,no_parking,Belmont Street,North,Yonge Street and Davenport Road,8:00 a.m. to 6:00 p.m.,
601,SCHEDULE XIII: No Parking,no_parking,Belmont Street,South,Yonge Street and Davenport Road,Anytime,
614,SCHEDULE XIII: No Parking,no_parking,Austin Terrace,North,Walmer Road (west intersection) and Spadina Road,Anytime,
619,SCHEDULE XIII: No Parking,no_parking,Barnaby Place,East,Edward Street and Elm Street,Anytime,
620,SCHEDULE XIII: No Parking,no_parking,Chatsworth Drive,South,Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
633,SCHEDULE XIII: No Parking,no_parking,Christie Street,East,Dupont Street and a point 68 metres south,Anytime,
643,SCHEDULE XIII: No Parking,no_parking,Christie Street,West,Dupont Street and Garnet Avenue,Anytime,
646,SCHEDULE XIII: No Parking,no_parking,Chadwick Avenue,Both,Spadina Road and Vesta Drive,2:00 a.m. to 10:00 a.m.,
662,SCHEDULE XIII: No Parking,no_parking,Castle Frank Road,North and east,Bloor Street East and Elm Avenue/Nanton Avenue,Anytime,
687,SCHEDULE XIII: No Parking,no_parking,Church Street,South,Yonge Street and Bloor Street West,"3:30 p.m. to 6:30 p.m., Mon. to Fri, except public holidays",
707,SCHEDULE XIII: No Parking,no_parking,Charles Street East,North,Yonge Street and a point 75.6 metres further east,Anytime,
711,SCHEDULE XIII: No Parking,no_parking,Church Street,South,Yonge Street and Bloor Street East,"3:30 p.m. to 6:30 p.m., Mon. to Fri., except public holidays",
725,SCHEDULE XIII: No Parking,no_parking,Charles Street West,North,Yonge Street and Balmuto Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",
740,SCHEDULE XIII: No Parking,no_parking,Cecil Street,North,Spadina Avenue and Henry Street,Anytime,
741,SCHEDULE XIII: No Parking,no_parking,Cecil Street,South,A point 48.8 metres east of Spadina Avenue and a point 24.4 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
749,SCHEDULE XIII: No Parking,no_parking,Cecil Street,South,Spadina Avenue and a point 45.7 metres east,Anytime,
751,SCHEDULE XIII: No Parking,no_parking,Chatsworth Drive,North,A point 121.9 metres west of Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
752,SCHEDULE XIII: No Parking,no_parking,Chatsworth Drive,North,Yonge Street and a point 121.9 metres west,Anytime,
794,SCHEDULE XIII: No Parking,no_parking,Brookdale Avenue,South,Elm Road and a point 141.4 metres west of Elm Road,Anytime,
800,SCHEDULE XIII: No Parking,no_parking,Burton Road,North,Spadina Road and Vesta Drive,Anytime,
804,SCHEDULE XIII: No Parking,no_parking,Brookdale Avenue,South,Yonge Street and Jedburgh Road,Anytime,
812,SCHEDULE XIII: No Parking,no_parking,Briar Hill Avenue,North,Yonge Street and Rosewell Avenue,Anytime,
877,SCHEDULE XIII: No Parking,no_parking,Broadway Avenue,North,A point 91.4 metres east of Yonge Street and a point 64 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
