bylaw_highway,tcl_linear_name_full_legal
Salvation Square,Queen Street West
Kingston Road Service Road,Kingston Road
Garamond Court,Don Mills Road
Lawrence Avenue,Lawrence Avenue West
Queen Street,Queen Street West
Eglinton Avenue,Eglinton Avenue West
Dundas Street,Dundas Street West
Lake Shore Boulevard,Lake Shore Boulevard West
Lake Shore Boulevard (eastbound),Lake Shore Boulevard West
Humber Boulevard South,Humber Boulevard
Humber Boulevard North,Humber Boulevard
Spadina Crescent East,Spadina Crescent
Spadina Crescent West,Spadina Crescent
Barlett Avenue,Bartlett Avenue
Willowridge Drive,Willowridge Road
Wadsworth Crescent,Wadsworth Boulevard
Winoka Avenue,Winona Drive
Shaver Avenue,Shaver Avenue South
Jopling Avenue,Jopling Avenue South
Hillsdale Avenue,Hillsdale Avenue East
Braeside Avenue,Braeside Road
Margdon Roa,Margdon Road
Dension Road East,Denison Road East
Dension Road,Denison Road East
St. David Walk,St David Street
Sackville Green,Sackville Street
Dunbloor Road,Dunblaine Avenue
York Mills Service Road,York Mills Road
Cosburn Avenue/Westlake Avenue,Cosburn Avenue
Westlake Avenue/Cosburn Avenue,Westlake Avenue
