Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Benvenuto Place,All,Turning basin at south end,Anytime,
Belsize Drive,North,A point opposite Acacia Road and Harwood Road,Anytime,
Chatham Avenue,South,A point opposite Byron Avenue and Greenwood Avenue,Anytime,
Burlington Crescent,South,Alberta Avenue Oakwood Avenue,"Anytime, on the 1st Thu. and 3rd Thu. of each month, Apr. 1 to Nov. 30, inclusive",
Douville Court,East,Longboat Avenue to the north end of Douville Court,Anytime,
Currie Avenue,North,Hillingdon Avenue Coxwell Avenue,Anytime,
Corinth Gardens,East,Broadway Avenue and a point 49 metres north and east of Broadway Avenue,Anytime,
Erskine Avenue,North,A point 91.4 metres east of Mount Pleasant Road to the east end of Erskine Avenue,8:00 a.m. to 6:00 p.m.,
Ellis Park Road,Both,Adjacent boulevard strip between a point 41.1 metres south of Bloor Street West and Wendigo Way,Anytime,
Ellis Park Road,North and west,Palisades and a point 115.8 metres east and north,Anytime,
Dundas Square,Both,Yonge Street to Victoria Street,Anytime,
Dovercourt Road,West,Dundas Street West and 30.5 metres south,Anytime,
Du Maurier Boulevard,North,Yonge Street to the east end of Du Maurier Boulevard,Anytime,
Duncannon Drive,West,Lane 30.5 metres south of Eglinton Avenue West and College View Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Glen Road,North,A point opposite Douglas Drive and Edgewood Crescent,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Gerrard Street East,North,A point opposite the east limit of Osborne Avenue and Victoria Park Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Gerrard Street East,North,Main Street and a point opposite the east limit of Osborne Avenue,Anytime,
Garfield Avenue,North and east,Mount Pleasant Road and a point 102.5 metres south and east,Anytime,
Fuller Avenue,West,Queen Street West and 30.5 metres north,Anytime,
Joe Shuster Way,North,Dufferin Street and a point of 56 metres east,Anytime,
Highview Crescent,East,Oakwood Avenue Rosemount Avenue,"Anytime, except the 1st Thu. and 3rd Thu. of each month, Apr. 1 to Nov. 30, inclusive",
Hertle Avenue,South and east,Highfield Road and a point 91.4 metres west and south,Anytime,
Lonsdale Road,North,A point opposite Avenue Road and Forest Hill Road,Anytime,
Lippincott Street,West,Bloor Street West and point 70.2 metres south of Bloor Street West,Anytime,
Pears Avenue,North,Avenue Road and Bedford Road (except between a point 73 metres west of Avenue Road and a point 17 metres further west of it),Anytime,
Pote Avenue,West,St. Leonard's Avenue to Dinnick Crescent,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
Pears Avenue,Both,Within Ramsden Park,Anytime,
Scarth Road,North end,Turning basin,Anytime,
Rhodes Avenue,West,A point 311.7 metres north of Fairford Avenue a point 36 metres south,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",
Queen Street East,North,Jarvis Street and a point opposite the east limit of George Street,Anytime,
Stephanie Street,North,A point 18.3 metres west of John Street to a point 18.3 metres east of Beverley Street,Anytime,
Weybourne Crescent,North,A point 38.1 metres southeast of St. Edmund's Drive to St. Leonard's Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
Western Battery Road,West and north,Lynn Williams Street and a point 142.7 metres north and east,Anytime,
Valleymede Road,North and east,Kennedy Avenue and a point 83.8 metres east and south,Anytime,
Valleymede Road,South and west,Kennedy Avenue and a point 70.7 metres and east and south,Anytime,
Unnamed roadway first east of Yonge Street,Both,Southerly from Belsize Drive,Anytime,
Unnamed roadway first north of Eastwood Road,Both,Westerly from Gainsborough Road,Anytime,
Unnamed street,Both,North from Manor Road East first east of Yonge Street,Anytime,
Unnamed street,Both,Running west from Old Weston Road north of Turnberry Avenue,Anytime,
Unnamed Street,North,First south of Glenfern Avenue running east from Silver Birch Avenue,Anytime,
Tarlton Road,West,Lane 30.5 metres south of Eglinton Avenue West and College View Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Yonge Boulevard,North and east,Yonge Street and a point 82 metres west and north of Yonge Street,Anytime,
Yonge Boulevard,West,Yonge Street and a point 61.4 metres northwest of a point opposite the north limit of McNairn Avenue,Anytime,
Windermere Avenue,West,South of Budgell Terrace,Anytime,
Danforth Road,South,Birchmount Road and a point 134 metres northeast,Anytime,
Lawrence Avenue West,Both,Caledonia Road and C.N.R. crossing approximately 274.5 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Lawrence Avenue East,North,Lorindale Avenue and a point opposite St. Edmund's Drive,Anytime,
Lawrence Avenue West,North,A point opposite Shermount Avenue and Varna Drive,8:30 a.m. to 6:00 p.m.,
Lawrence Avenue East,Both,Victoria Park Avenue and High Point Road,Anytime,
Jane Street,West,Baby Point Road and Pritchard Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Lake Shore Boulevard West,South,A point opposite the south limit of Allen Avenue and a point opposite the north limit of Mimico Avenue,Anytime,
Eglinton Avenue East,North,Yonge Street and a point opposite the east limit of Dunfield Avenue,Anytime,
Kingston Road,Northwest,Heyworth Crescent and a point 143.5 metres northeast,8:30 a.m. to 6:00 p.m.,
Wilson Avenue,South,A point opposite the east limit of Belgrave Avenue and Saunders Street,Anytime,
Bermondsey Road,West,Hollinger Road and a point opposite the southerly limit of Sunrise Avenue,Anytime,
Burley Avenue,West,A point opposite the northerly limit of Floyd Avenue and Bater Avenue,Anytime,
Canvarco Road,South,The northeast end of Canvarco Road and a point 60 metres southwest,Anytime,
Weston Road,East,A point 45.5 metres northwest of St. Phillips Road and Conron Place,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",
South Kingsway,Both,Bloor Street and a point opposite the south limit of Larkin Avenue,Anytime,
Lane,Both,Todmorden Lane (See under Streets),Anytime,
Lane,Both,"Cosburn Avenue and 39.5 metres south, first west of Pape Avenue",Anytime,
Millwood Road,South,Bayview Avenue and a point opposite the east limit of Donegall Drive,Anytime,
Lane,Both,North end of lane first north of Danforth Avenue and first east of Gledhill Avenue and a point 39.1 metres south thereof,Anytime,
Laird Drive,East,Within 30.5 metres south of Donlea Drive,Anytime,
Lane,Both,"Pape Avenue to the lane west of East York Avenue, south of MacPhail Avenue",Anytime,
Laird Drive,West,Within 30.5 metres north of Donlea Drive,Anytime,
Mortimer Avenue,North,,,
Hanna Road,West,Adjacent to Bessborough School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Hanna Road,West,Adjacent to Rolph Road School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Chisholm Avenue,East,A point 38.1 metres south a point opposite the southerly limit of Gatwick Avenue and Lumsden Avenue (south intersection),Anytime,
Fleming Crescent,,,,
Furnival Road,North,,Anytime,
Dustan Crescent,,Around island at intersection,Anytime,
Wicksteed Avenue,North,A point opposite the west limit of Copeland Street and a point 131.5 metres east thereof,Anytime,
Wicksteed Avenue,North,A point opposite the east limit of Beth Nealson Drive and the east end of Wicksteed Avenue,Anytime,
William Morgan Drive,North,A point opposite the east limit of the north/south leg of William Morgan Drive and a point 30.5 metres east thereof,Anytime,
Arlington Avenue,West and south,A point 140.9 metres east and south of Winnett Avenue and a point 34.7 metres north and west thereof,Anytime,
Baby Point Road,North,Baby Point Crescent (east intersection) and Jane Street,Anytime,
Sharron Drive,South,Adjacent to Bessborough School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Plaxton Drive,West,The lane 36 metres south of St. Clair Avenue East and Glencrest Boulevard,Anytime,
Squires Avenue,West,St. Clair Avenue East and a point opposite the south limit of Holmstead Avenue,Anytime,
Cedarcrest Boulevard,West,Adjacent to George Webster School,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Torrens Avenue,South,Pape Avenue and a point 233.3 east of Pape Avenue,Anytime,
Sutherland Drive,East,A point 30.5 metres south of the south side of Donlea Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Rolph Road,East,Adjacent to Rolph Road School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Gower Street,South,Adjacent to George Webster School grounds,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Hanna Road,West,Adjacent to Bessborough School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Hanna Road,West,Adjacent to Rolph Road School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Marilyn Crescent,West,Adjacent to Presteign Heights School,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Sutherland Drive,West,Millwood Road and a point 45.5 metres southwest of Millwood Road,Anytime,
Rolph Road,East,Adjacent to Rolph Road School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Vanderhoof Avenue,East and north,Brentcliffe Road and a point opposite the north limit of Research Road,Anytime,
Vicross Road,East,St. Clair Avenue East and a point opposite the north limit of Warvet Crescent,Anytime,
Sharron Drive,South,Adjacent to Bessborough School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun.",
Emmett Avenue,South,A point 701 metres north and east of Eglinton Avenue West and Jane Street,Anytime,
Forest Point Drive,East and north and west and south,Buttonwood Avenue and the east end of Forest Point Drive (south intersection),Anytime,
Branstone Road,East and south,A point 111 metres west and south of Ennerdale Road (north intersection) and a point 30 metres north and east thereof,Anytime,
Bude Street,West and north,Vaughan Road and a point 45.7 metres north and east,Anytime,
Castleton Avenue,East,Henrietta Street and a point opposite the southerly limit of Corbett Avenue,Anytime,
Kane Avenue,North and west,Old Weston Road and a point 100.6 metres east and north,Anytime,
Humbercrest Boulevard,East,Humberview Road and Baby Point Road,Anytime,
Greyton Crescent,East and south,A point 46 metres west and south of Glenholme Avenue and Glenholme Avenue,Anytime,
Humbercrest Point,South,The west end of Humbercrest Point and Humbercrest Boulevard,Anytime,
Halford Avenue,South and east,Riverview Gardens (east intersection) and a point 91 metres east and north,Anytime,
Sykes Avenue,East and south,Denison Road West and a point 82.3 metres north and east,Anytime,
Sandcliffe Road,West and north,Black Creek Boulevard and a point 125 metres north and east,Anytime,
Rose Valley Crescent,East and north,Black Creek Boulevard and a point 188 metres north and west,Anytime,
Sidney Belsey Crescent,West and south,A point 174 metres west and south of Westpoint Lane (north intersection) and Westpoint Lane (south intersection),Anytime,
Paulson Road,East and south,Trethewey Drive and a point 115.8 metres north and east of Trethewey Drive,Anytime,
Seventh Street,West,First lane south of Lake Shore Boulevard West and a point 31 metres south thereof,Anytime,
Wadsworth Boulevard,North and west,A point 132 metres south and west of William Street and a point 73 metres east and north thereof,Anytime,
Winona Drive,East and south,A point 55 metres north Glenhurst Avenue and Dundurn Crescent (north intersection),Anytime,
Elmvale Crescent,Both,Silverstone Drive and a point 150 metres west and south,Anytime,
Dixington Crescent,"West, north and east",From a point 82.5 metres south of Dixon Road (west intersection) and Dixon Road (east intersection),Anytime,
