bylaw_name,tcl_token,highway_hint
Avenue Road,avenue rd,
Indian Grove,indian grv,
The East Mall,the east mall,
The West Mall,the west mall,
St. Clair Gardens,st clair gdns,
St. John's Road,st johns,
Murray Ross Parkway,murray ross pkwy,
Indian Road Crescent,indian rd,
William R. Allen Road,william r allen rd,
Bloor Street West (west intersection),bloor st w,
Bloor Street West (east intersection),bloor st w,
Heath Street West,heath st w,
St. Clarens Avenue,st clarens ave,
St. Thomas Street,st thomas st,
Austin Terrace,austin ter,
St. Patrick Square,st patricks sq,
St. John Road,st john's rd,
St. Olaves Road,st olave's rd,
St. Marks Road,st mark's rd,
St. Georges Road,st george's rd,
St. Edmunds Drive,st edmund's dr,
Pengelly Court,pengelly crt,
St. Clair West,st clair ave w,
Brown's Line,brown's line,
Locust Lodge Gardens,locust lodge gdns,
St. David Walk,st david walk,
